ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
1031,2021-01-18 10:30:28+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/198/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1032,2021-01-18 10:31:44+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/198/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1028,2021-01-18 16:01:49+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/197/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1029,2021-01-18 16:01:49+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/197/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1019,2021-01-18 16:40:29+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/196/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1020,2021-01-18 16:40:29+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/196/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1033,2021-01-20 14:44:40+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['ppfeiff'],['pm4py/pm4py-core']
1034,2021-01-21 06:01:43+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1035,2021-01-21 06:05:32+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1036,2021-01-21 07:45:57+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['ppfeiff'],['pm4py/pm4py-core']
1037,2021-01-21 08:32:33+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1038,2021-01-21 09:07:06+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['ppfeiff'],['pm4py/pm4py-core']
1039,2021-01-21 09:14:01+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['ppfeiff'],['pm4py/pm4py-core']
1044,2021-01-21 18:20:51+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/200/timeline'],['shubhambalyan'],['pm4py/pm4py-core']
